id,prediction
1,0
2,4
3,0
4,1
5,0
6,2
7,2
8,2
9,3
10,4
11,2
12,4
13,1
14,3
15,4
16,2
17,2
18,4
19,0
20,3
21,2
22,2
23,0
24,0
25,0
26,3
27,2
28,0
29,4
30,4
31,3
32,1
33,4
34,0
35,2
36,2
37,3
38,2
39,3
40,0
41,2
42,2
43,4
44,4
45,2
46,0
47,1
48,3
49,1
50,0
51,1
52,4
53,4
54,0
55,1
56,4
57,3
58,2
59,0
60,3
61,4
62,1
63,3
64,1
65,0
66,2
67,3
68,2
69,4
70,1
71,3
72,2
73,3
74,4
75,3
76,3
77,2
78,1
79,4
80,4
81,2
82,0
83,3
84,3
85,3
86,1
87,2
88,0
89,2
90,0
91,4
92,3
93,3
94,3
95,4
96,1
97,3
98,4
99,4
100,1
101,1
102,1
103,3
104,4
105,3
106,3
107,3
108,0
109,3
110,1
111,1
112,3
113,4
114,3
115,4
116,0
117,1
118,1
119,1
120,2
121,3
122,1
123,0
124,3
125,3
126,2
127,4
128,1
129,4
130,3
131,4
132,2
133,3
134,0
135,4
136,4
137,3
138,0
139,2
140,1
141,3
142,4
143,4
144,3
145,1
146,3
147,1
148,3
149,3
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,3
159,3
160,3
161,1
162,4
163,2
164,1
165,3
166,4
167,4
168,0
169,1
170,3
171,4
172,3
173,0
174,1
175,2
176,2
177,2
178,0
179,1
180,0
181,4
182,1
183,0
184,1
185,4
186,3
187,3
188,4
189,2
190,2
191,2
192,4
193,2
194,0
195,2
196,3
197,0
198,0
199,2
200,1
201,1
202,1
203,2
204,1
205,4
206,0
207,4
208,1
209,3
210,3
211,2
212,2
213,4
214,2
215,2
216,1
217,3
218,1
219,3
220,4
221,2
222,0
223,4
224,3
225,1
226,1
227,4
228,4
229,1
230,4
231,4
232,3
233,0
234,2
235,3
236,2
237,4
238,1
239,1
240,4
241,4
242,0
243,0
244,4
245,3
246,1
247,3
248,2
249,2
250,1
251,1
252,3
253,0
254,4
255,0
256,4
257,1
258,1
259,4
260,3
261,1
262,2
263,4
264,2
265,0
266,3
267,4
268,4
269,4
270,1
271,3
272,2
273,0
274,2
275,2
276,2
277,1
278,2
279,4
280,1
281,3
282,1
283,1
284,2
285,4
286,1
287,1
288,4
289,0
290,3
291,3
292,4
293,3
294,4
295,3
296,3
297,0
298,4
299,1
300,3
301,0
302,2
303,0
304,4
305,2
306,4
307,0
308,0
309,3
310,2
311,3
312,2
313,0
314,0
315,4
316,4
317,4
318,3
319,4
320,4
321,2
322,4
